id,handle,type,depth_ps,geo_age_ps,geo_age_lb,geo_age_ub,set_age_default,x,y,set_year
2354,SEDIVY,Presettlement_paleon,60,87.94717,6.462072,232.373368,78,51847.9506585086,1256975.23218112,79
2375,SHAGAWA,Presettlement_paleon,40,79.92996675,17.294605165,168.600435375,185,357722.402042141,1295853.07177323,66
2383,SILVERMN,Presettlement_paleon,70,100.27374,18.27230735,219.2633623,132,138782.169734268,983838.737463492,94
2394,SISEEBA,Presettlement_paleon,41,79.17007,13.345611125,174.1634415,143,211737.715604547,1225424.25507873,81
2581,SOLUM,Presettlement_paleon,40,85.8817165,24.0363065,175.477866075,94,10923.0306011806,1201898.16368986,80
2584,SOSTANCH,Presettlement_paleon,30,76.37133125,14.5666060875,166.9048385,29,208135.003771951,1067772.04683308,98
2585,SPECTACL,Presettlement_paleon,40,92.56985225,25.23220265,185.65143225,121,210487.111983245,1050323.62139282,93
2600,STCATHER,Presettlement_paleon,50,98.32651,16.46044495,220.86068,113,195240.613335738,946171.812371238,95
2605,STONE,Presettlement_paleon,30,75.70572,12.5369865,167.780225,175,199240.545084148,1032429.49824282,95
2613,SUNFISH,Presettlement_paleon,40,92.15177575,26.163142325,190.863078625,116,224832.182288653,970268.725257146,97
2638,TERHELL,Presettlement_paleon,40,62.5872676,-4.527743,178.11578,111,55066.2021300448,1254704.38922792,79
2640,THOMPSON,Presettlement_paleon,30,79.2641455,10.98293775,171.099163625,294,32176.1749156691,1258527.01371588,79
2648,TOENJES,Presettlement_paleon,60,99.03515,16.102051125,232.32747125,100,163767.255049315,1038096.46056354,94
2881,TWINMN1,Presettlement_paleon,50,97.1014,18.37441565,221.30525695,79,232876.45277338,1078560.20797804,95
2888,UPGRAVEN,Presettlement_paleon,160,80.8289961035028,-9.81877299627448,207.608927913404,277,74154.4079411464,1138108.01774884,79
3837,WEBERLK,Presettlement_paleon,60,83.575128,7.473791,215.6347795,286,367893.643012434,1244957.97445237,56
2948,WENTZEL,Presettlement_paleon,55,108.8385861,32.69316829125,209.9273343125,194,113729.588239272,1218398.90904063,77
2952,WHITLIL1,Presettlement_paleon,40,93.77143025,26.949607875,189.1327015,121,241108.300514199,1104158.26941576,95
3031,WOLSFELD,Presettlement_paleon,714,92.1496003436,0.336075845815501,210.0015344529,97,189694.866555631,989319.526546676,95
10970,SOUHERON,Presettlement_paleon,36,85.5601945,22.360877545,174.294422625,111,39429.1361516097,865859.143501355,92
10971,OCHEDA,Presettlement_paleon,36,82.0109195,22.5609863125,175.1224327,111,7852.2007114708,853770.306904406,82
10973,BLOMFORD,Presettlement_paleon,40,86.61708635,13.623386375,184.5708775,386,229033.809349671,1039162.75508916,96
10974,FAWNANMN,Presettlement_paleon,40,87.733015,13.7921445,180.30988175,143,235709.418943392,1028658.79169368,95
10975,FROVOLD,Presettlement_paleon,30,61.347955,-3.899090375,159.2943475,126,40965.3050406653,1052229.35783248,83
10976,GOOSEMN,Presettlement_paleon,35,77.36295,9.2708237,169.378160325,47,110043.874295033,998434.888206856,94
10977,OLSONMN,Presettlement_paleon,1080,88.368665,5.61710087725,216.959249875,228,204551.436350912,1156599.04195553,80
10983,RNDGROVE,Presettlement_paleon,45,94.5413415,25.71881165,191.211484,108,113282.056133147,966385.217471672,95
12005,MNLYC2,Presettlement_paleon,25,54.97225425,-7.601377625,154.0456475,90,18847.3212622951,970076.405813252,86
12006,MONSON,Presettlement_paleon,80,105.4369,11.997065,243.824748,107,61970.9276193022,1043054.63868706,93
12007,DEANS,Presettlement_paleon,80,109.10179375,25.44372121125,244.312753875,161,196277.758947598,962692.358610003,96
12008,EMILY,Presettlement_paleon,153,143.2995005,52.865068025,290.79508815,100,152333.976924338,916052.044685713,96
12009,PERCHMN,Presettlement_paleon,80,97.20708,6.2918245,239.1013983,98,61951.3852929127,1140776.73071721,79
12010,CHUBLAKE,Presettlement_paleon,195,77.9965075,7.086709125,174.055187875,110,211245.556465023,937044.863335701,96
12011,MNDLLR,Presettlement_paleon,35,65.87905,-7.6665851,172.16032,99,48918.8151761407,1098832.43779926,84
12012,ZIEBELL,Presettlement_paleon,50,75.373885,-5.14473669375,197.393479375,104,75329.9269609796,1123404.49099384,79
12013,MNDLML,Presettlement_paleon,65,87.641185,2.47305874999999,217.846844,86,56915.8817385947,1103917.66346411,84
12014,LYBECK,Presettlement_paleon,55,79.2591525,-0.725082200000002,196.9261775,96,34491.9242388118,1086756.75232056,83
12015,UNION,Presettlement_paleon,45,88.863445,20.6803374875,184.585705375,105,65327.8493474331,1098091.28334341,84
15248,ALBERTL3,Ambrosia rise_33009,61.5,111.9307665,53.091581,198.9824275,105,193492.153952912,837111.048630138,96
12024,EVRHRTLK,Presettlement_paleon,35,71.45032,-5.88949375,179.793928175,80,180630.074533319,834819.111961833,96
13029,SHARKEY,Ambrosia rise_18438,1569,89.83781,62.94898625,126.8761575,95,196353.664564324,942161.938543656,95
13032,KIMBLE,Presettlement_paleon,1910.5,276.684926,126.0231514515,604.37786969356,123,157328.313411382,905317.351926584,95
13051,WESTOLAF,Presettlement_paleon,165,77.1971,-66.10864,205.2592,581,14557.6549802276,1194129.09633485,80
13056,OAKGLEN,Presettlement_paleon,258,108.77895,22.1083055925,235.7264891625,199,213443.296186673,865674.709662242,96
13057,CAMPLAKE,Presettlement_paleon,40,84.866531,16.45169305,184.170934625,107,54770.3976843801,1053373.83261386,93
