"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"KIMBLE","Kimble Pond",13032,-48,12254,"Calibrated radiocarbon years BP",TRUE,-51,10570,NA,NA,FALSE
"WESTOLAF","West Olaf Lake",13051,-25,8633,"Calibrated radiocarbon years BP",TRUE,80,8140,NA,NA,FALSE
"OAKGLEN","Oak Glen Lake",13056,-29,199,"Calendar years BP",TRUE,-29,96,NA,NA,FALSE
"CAMPLAKE","Camp Lake",13057,-27,381,"Calendar years BP",TRUE,-30,93,NA,NA,FALSE
"BASSK","Bass Lake",14270,77,1173,"Calendar years BP",TRUE,-42,1100,NA,NA,TRUE
"SALLIE","Lake Sallie",14403,-18,135,"Calendar years BP",TRUE,-20,70,NA,NA,TRUE
"MNPPJL","Johnson Lake",14435,-26,450,"Calendar years BP",TRUE,-30,90,NA,NA,TRUE
"LILY","Lily Lake",14535,69,652,"Calibrated radiocarbon years BP",TRUE,-45,710,NA,NA,TRUE
"KELLYDUD","Kelly-Dudley Lake",14537,17,7180,"Calibrated radiocarbon years BP",TRUE,-38,5700,NA,NA,TRUE
"MARTHA","Martha Lake",14539,89,3841,"Calibrated radiocarbon years BP",TRUE,-44,2580,NA,NA,TRUE
"NORPOL","Norwood",19316,12483,15388,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"MINNREG","Minnreg",14626,43,753,"Calendar years BP",TRUE,-42,800,NA,NA,TRUE
"AMBER","Amber Lake",14631,85,965,"Calendar years BP",TRUE,-43,970,NA,NA,TRUE
"CAMP","Camp Lake",14633,102,1537,"Calendar years BP",TRUE,-43,1650,NA,NA,TRUE
"CRYSTAL","Crystal Lake",14635,62,1815,"Calendar years BP",TRUE,-44,1910,NA,NA,TRUE
"FISHL","Fish Lake",14637,87,826,"Calendar years BP",TRUE,-42,760,NA,NA,TRUE
"FISHS","Fish Lake",14639,183,1710,"Calendar years BP",TRUE,-44,1780,NA,NA,TRUE
"EAGLEL","Eagle Lake",14641,87,1974,"Calendar years BP",TRUE,-45,1680,NA,NA,TRUE
"EMILY_NE","Lake Emily, Northeast Basin",14643,27,839,"Calendar years BP",TRUE,-45,930,NA,NA,TRUE
"FULLER","Fuller Lake",14645,52,1718,"Calendar years BP",TRUE,-43,1900,NA,NA,TRUE
"LAKEMINA","Lake Mina",14839,50,830,"Varve years BP",NA,NA,NA,NA,NA,NA
"MNCLEB","Elk Lake",15167,-28,182,"Calendar years BP",TRUE,-28,80,NA,NA,TRUE
"MNCLEC","Elk Lake",15168,-28,128,"Calendar years BP",TRUE,-28,80,NA,NA,TRUE
"MNCLE4","Elk Lake",15169,-24,168,"Calendar years BP",TRUE,-28,80,NA,NA,TRUE
"MNCLED","Elk Lake",15219,-18,100,"Calendar years BP",TRUE,-20,60,NA,NA,TRUE
"MNCLEL","Elk Lake",15269,12,158,"Calendar years BP",TRUE,58,169,NA,NA,TRUE
"MNBCSC","St. Clair Lake",15228,-18,126,"Calendar years BP",TRUE,-20,80,NA,NA,TRUE
"MNCLSQ","Ozawindib Lake",15252,-19,935,"Calibrated radiocarbon years BP",TRUE,-23,790,NA,NA,TRUE
"MNCHLH","Little Horseshoe Lake",15254,-27,313,"Calendar years BP",TRUE,-30,70,NA,NA,TRUE
"MNOTCL","Cora Lake",15256,-26,401,"Calendar years BP",TRUE,-29,80,NA,NA,TRUE
"MNCVTL","Tamarack Lake",15266,-27,111,"Calendar years BP",TRUE,-27,100,NA,NA,TRUE
"MNHBLS","LaSalle Lake",15270,-14,223,"Varve years BP",TRUE,-14,223,NA,NA,FALSE
"MNWSSO","Saint Olaf Lake",15273,-27,195,"Calendar years BP",TRUE,-29,95,NA,NA,TRUE
"WILLIAMJ","Williams Lake",15281,-43,10787,"Calibrated radiocarbon years BP",TRUE,-43,7680,NA,NA,FALSE
"MNHNLL","Long Lake",15294,-27,2902,"Calibrated radiocarbon years BP",TRUE,-29,2477,NA,NA,TRUE
"MNHNWB","Wolsfeld Woods Marsh",15318,-25,1503,"Calibrated radiocarbon years BP",TRUE,-25,905,NA,NA,TRUE
"DEEPLAKE","Deep Lake",15403,143,8214,"Calibrated radiocarbon years BP",TRUE,-40,10700,NA,NA,FALSE
"QUALLY","Qually Pond",15965,1379,12281,"Calibrated radiocarbon years BP",TRUE,-12,11740,NA,NA,FALSE
"ITASCALC","Itasca Bison Kill Site",15985,3575,8664,"Calendar years BP",FALSE,NA,NA,NA,NA,FALSE
"ITASCAMB","Itasca Bison Kill Site",15989,9825,10685,"Calibrated radiocarbon years BP",TRUE,9360,9690,NA,NA,FALSE
"ITASCAMC","Itasca Bison Kill Site",15992,7688,8899,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"ITASCAMD","Itasca Bison Kill Site",15998,3147,7419,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"ITASCAT2","Itasca Bison Kill Site",16002,5484,7033,"Calibrated radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"STEELMN","Steel Lake",17396,-50,12289,"Calibrated radiocarbon years BP",TRUE,-50,41190,NA,NA,FALSE
"FOXMN","Fox Lake",19834,-11,9120,"Radiocarbon years BP",TRUE,-52,8220,NA,NA,FALSE
"LITSHING","Little Shingobee Lake",17947,2441,12831,"Radiocarbon years BP",TRUE,-48,16230,NA,NA,FALSE
"MADELIA","Madelia",19812,9273,13793,"Radiocarbon years BP",TRUE,9300,12650,NA,NA,FALSE
"HELLSKIT","Hell's Kitchen Lake",3131,-10,2046,"Radiocarbon years BP",TRUE,-10,2046,NA,NA,FALSE
"LAKEMARY","Lake Mary",3473,200,10345,"Radiocarbon years BP",TRUE,200,9460,NA,NA,FALSE
"BLUMOUND","Blue Mounds Creek",287,0,10322,"Radiocarbon years BP",TRUE,0,10485,NA,NA,FALSE
"BROWNLK","Brown Lake",313,-31,80,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"CAMP12LK","Camp 12 Lake",333,-33,177,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"DARKLAKE","Dark Lake",546,0,994,"Radiocarbon years BP",TRUE,0,994,NA,NA,FALSE
