"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"MCNRNY2A","McNearny Lake",1725,-23,241,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"MCNRNY3A","McNearny Lake",3485,-23,157,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"MCNRNY4A","McNearny Lake",3486,-27,340,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"RYERSE","Ryerse Lake",2318,603,8923,"Radiocarbon years BP",TRUE,870,8960,NA,NA,FALSE
"SPIRIT","Spirit Lake",2586,-20,11767,"Radiocarbon years BP",TRUE,-20,11060,NA,NA,FALSE
"VESTABRG","Vestaburg Bog",3831,0,20200,"Radiocarbon years BP",TRUE,0,110,NA,NA,FALSE
"WINTERGR","Wintergreen Lake",2961,-20,12786,"Radiocarbon years BP",TRUE,-20,13195,NA,NA,FALSE
"WOLVERIN","Wolverine Lake",3032,100,10115,"Radiocarbon years BP",TRUE,-30,9980,NA,NA,FALSE
"YELLOWDG","Yellow Dog Pond",3047,0,9137,"Radiocarbon years BP",TRUE,0,9100,NA,NA,FALSE
"CANYONMI","Canyon Lake",15682,-10,11320,"Calibrated radiocarbon years BP",TRUE,-20,9725,NA,NA,FALSE
"LTDOLLAR","Little Dollar Lake",12001,-20,6000,"Radiocarbon years BP",TRUE,-29,5890,NA,NA,FALSE
"IRWINSMT","Irwin Smith Bog",13047,-22,7213,"Calibrated radiocarbon years BP",TRUE,-60,6090,NA,NA,FALSE
"GLIMML1","Glimmerglass Lake",13097,52,11678,"Calibrated radiocarbon years BP",TRUE,-43,9740,NA,NA,FALSE
"TOWER1","Tower Lake",14410,1697,8775,"Calibrated radiocarbon years BP",TRUE,-54,7904,NA,NA,FALSE
"TOWER4","Tower Lake",14443,-18,457,"Calibrated radiocarbon years BP",TRUE,-55,464,NA,NA,FALSE
"TOWER6","Tower Lake",14889,532,1683,"Calibrated radiocarbon years BP",TRUE,-56,1796,NA,NA,FALSE
"TOWER7","Tower Lake",17993,2113,2203,"Calibrated radiocarbon years BP",TRUE,-56,2220,NA,NA,FALSE
"NELSONMI","Nelson Lake",14933,-46,6901,"Calibrated radiocarbon years BP",TRUE,-46,6710,NA,NA,TRUE
"MUDLKMI","Mud Lake",15032,-49,10316,"Calibrated radiocarbon years BP",TRUE,-49,8700,NA,NA,TRUE
"LILYMI","Lily Lake",15035,1057,10259,"Calibrated radiocarbon years BP",TRUE,-42,9420,NA,NA,FALSE
"ESOLDIER","East Soldier Lake",15309,12,9469,"Calibrated radiocarbon years BP",TRUE,-29,8450,NA,NA,FALSE
"GUARD","Guard Lake",15311,451,2939,"Calibrated radiocarbon years BP",TRUE,-28,2785,NA,NA,FALSE
