"labid","age","error","depth","cc"
"Core top_2379",0,20,610,0
"Presettlement_paleon",94,50,660,0
"Radiocarbon_rc_2381",490,60,725,1
"Radiocarbon_rc_2382",2295,65,950,1
"Radiocarbon_rc_2383",3465,70,1155,1
