"labid","age","error","depth","cc"
"Lead-210_5176",-32,2,0.8,0
"Lead-210_5177",-10,3,5.75,0
"Lead-210_5178",7,3,8.75,0
"Lead-210_5179",24,4,11.25,0
"Lead-210_5180",43,6,14.25,0
"Lead-210_5181",46,7,14.75,0
"Lead-210_5182",50,7,15.25,0
"Lead-210_5183",54,8,15.75,0
"Lead-210_5184",62,9,16.75,0
"Lead-210_5185",79,12,19.25,0
"Presettlement_paleon",43,50,22.25,0
