id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
70,Brandreth Bog,BRANDRET,-74.683333,43.916667,600,United States,138,Radiocarbon years BP,linear interpolation,30,10490,n,n,n,y,y,access,1595.859405,642.84141,360,11051,11198,10893,830,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Browns Pond,BROWNSPD,-79.616389,38.154722,620,United States,146,Radiocarbon years BP,linear interpolation,0,17350,y,y,y,y,y,access,1347.749936,-100.673521,372,10929,11478,10398,160,pollen stratigraphic: picea decline idw-2d,9836,10357,9275,145,pollen stratigraphic: alnus decline idw-2d,11654,12209,11123,170,pollen stratigraphic: quercus rise idw-2d
80,Bucyrus Bog,BUCYRUS,-82.933333,40.797222,318,United States,154,Radiocarbon years BP,2nd order polynomial,8360,14500,n,y,y,y,y,access,1034.042907,165.455065,190.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11590,11743,11443,37,pollen stratigraphic: quercus rise idw-2d
84,Byron-Bergen Swamp (Site 2),BYRONMRL,-78.005833,43.095833,180,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,-20,12970,n,n,y,y,y,excel,1368.705227,495.924637,108,10624,11000,10222,440,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Saint-Calixte,CAL,-73.868056,45.961111,261,Canada,167,Radiocarbon years BP,linear interpolation (+ extrapolation),80,10560,n,n,n,y,y,access,1599.911095,891.861147,156.6,11065,11193,10926,542.5,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11455,11574,11339,435,pollen stratigraphic: quercus rise idw-2d
95,Canyon Lake,CANYON,-87.921389,46.833333,260,United States,1379,Radiocarbon years BP,linear interpolation,110,10830,n,n,n,y,y,access,579.86143,831.950749,156,10910,11056,10770,630,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,10691,10803,10578,549,pollen stratigraphic: quercus rise idw-2d
100,Caribou Bog,CARIBBOG,-68.766667,45.933333,37,United States,181,Radiocarbon years BP,linear interpolation,60,9570,n,n,n,n,y,access,1960.403119,984.508101,22.2,10870,11046,10696,657,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Cedar Bog Lake,CEDARBLK,-93.197222,45.411111,275,United States,194,Radiocarbon years BP,linear interpolation,-10,11060,n,n,y,y,y,access,206.355652,642.327522,165,10408,10580,10231,1427,pollen stratigraphic: picea decline idw-2d,10721,11033,10403,1467,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
107,Chase Pond,CHASE,-60.675,45.651389,15,Canada,50006,Calibrated radiocarbon years BP,linear interpolation,10377,17068,n,y,y,y,y,access,2531.073003,1144.776065,9,NA,NA,NA,NA,NA,11517,11816,11196,511,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
114,Chippewa Bog,CHIPPEWA,-83.241111,43.123889,270,United States,208,Radiocarbon years BP,linear interpolation,1000,9500,n,n,n,n,y,access,972.952508,434.522841,162,11263,11419,11102,776,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
