"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
11,893.83754,-417.067548,183,10942.0618192970,92.5465830333263,10769.0775634581,11110.3375677394,10961.5274754034,90.1393195008096,10792.04766387,11125.9612814600
16,843.373316,239.708818,176.4,11072.3689527122,97.8555846517323,10886.8578078916,11254.6252313982,11078.5230639191,97.4470087715963,10894.6131861809,11260.5488689089
20,1651.117188,853.401214,68.4,11395.4556330550,66.3098892818501,11264.1232649199,11525.6901652194,11399.0728690514,66.2476791820987,11268.1763716047,11528.7029651703
21,1208.778691,740.998791,193.8,11372.6549992277,103.173284997884,11194.9158000142,11545.094553412,11373.2799225236,102.907679913771,11195.6516803805,11546.0206491815
24,1683.545074,546.776037,45.6,11397.4569784490,88.9140642182923,11230.2873567423,11564.8891865613,11378.2945195641,75.47257760719,11235.6039228627,11525.7163162475
27,1348.41865,636.967747,100.2,11398.3701075735,104.563656723451,11222.1510078864,11575.0327511896,11400.9302245831,103.128552641332,11226.2982538255,11573.6321523947
28,1151.990583,952.825122,175.2,11294.1897131658,74.184564923234,11153.4076034007,11427.8928035487,11295.9105152782,74.3337719637994,11155.3419803702,11429.4672657358
31,1230.215535,867.223736,183,11326.3326865312,79.8996020185511,11181.7019776890,11465.2937995718,11328.0441178210,80.0851939661725,11183.8610090412,11467.778722624
33,1153.765293,224.467461,201,11130.5854610801,99.154738752255,10949.8951650315,11316.1691425700,11162.813464216,96.6382656188698,10987.4389800899,11340.9753374944
35,1126.237601,942.444699,182.4,11289.8543287359,75.2632902019955,11147.819188168,11425.4150638586,11291.2806174282,75.4012847809993,11148.9202726591,11426.9887154773
40,1394.358163,399.065989,298.2,11338.8249090098,89.3393605430658,11175.2821752135,11497.7267096155,11305.3774285485,85.700201416432,11146.6834661302,11459.2230264787
42,1735.958914,503.899135,360,11416.074262585,101.806148667508,11226.7752882690,11600.6259660433,11391.8203221235,97.2537144518665,11212.8444157802,11565.4024586280
48,1672.304899,356.801929,153.6,11440.1010426263,117.215810845941,11221.1855085034,11656.8459001952,11411.6068923106,102.566193292036,11212.4105365040,11607.0024471892
50,1820.294669,530.128411,214.8,11407.6040789655,87.2547712925712,11243.1613480842,11572.1580224523,11409.0956219540,90.2046361370022,11241.1053810891,11576.4803325364
52,2053.902154,812.646991,18,11546.4915458285,119.489441099477,11320.1253316003,11770.1281333617,11546.0202094493,118.771279493039,11321.0816806309,11769.3031428066
56,1849.914973,481.388918,128.4,11409.0745261293,92.2545875580204,11236.8769959066,11576.6422237288,11402.2820653384,85.5147187166051,11241.8514621282,11565.3401289447
57,469.106623,379.336355,201,11435.1618994574,292.057097572057,10966.2651351689,11913.0073991654,11419.3891817892,283.412037660853,10966.0071120928,11884.3089736538
61,1035.881572,319.663909,126.6,11257.3201494898,102.355208733448,11076.7098285682,11432.8901274246,11275.7740504447,102.185241428776,11095.1555647426,11450.7565549308
62,217.795035,-219.435835,126,11049.1901982066,101.532030275044,10857.7483057037,11241.5436107077,11052.1326382442,101.696506785121,10860.9667106634,11244.8113449663
70,1595.859405,642.84141,360,11372.0566107846,71.5569919100769,11231.1123499711,11509.5027359466,11352.9161251833,72.3366440355801,11208.7479180626,11490.6441177040
72,2189.424737,851.709651,9,11577.1582284670,200.184069947571,11242.3642648844,11898.6944425793,11575.2938602211,192.907238729512,11254.1471232535,11888.7244482476
77,1347.749936,-100.673521,372,9836.04347451207,328.622477494611,9274.98402990262,10357.2943367768,9836.04347451207,328.622477494611,9274.98402990262,10357.2943367768
80,1034.042907,165.455065,190.8,11045.7408957985,91.273983458002,10871.7250831673,11217.2733633825,11077.3908956899,88.4598983667156,10908.2966522514,11243.6724315836
84,1368.705227,495.924637,108,11405.0065743870,110.674702233660,11217.6950373053,11588.2139455882,11410.5652728983,109.477446575231,11225.1513109836,11591.2424848813
90,1599.911095,891.861147,156.6,11383.2061049624,65.1147430224136,11252.6455908638,11511.1729926953,11383.5332610382,64.9141492354328,11251.9314716810,11511.4231318678
92,574.693523,811.769957,329.4,11125.1907938018,109.025519990202,10922.4107718269,11329.3855689282,11121.4885245239,105.833525578324,10920.8894024463,11319.6142180180
95,579.86143,831.950749,156,11125.2923270502,106.225278358660,10924.7924072763,11324.3687253058,11126.5290115372,106.275068974390,10926.3032620483,11325.7917957749
100,1960.403119,984.508101,22.2,11539.6508297104,130.704211637422,11307.8593517639,11760.1651977313,11538.6607191005,128.435853658559,11308.6289580928,11758.1729813724
102,904.645682,79.634245,183,11016.2733193543,102.093123615297,10819.9230361378,11210.1370663354,11034.3295908124,101.013635827138,10840.9846968068,11222.8639486565
103,1643.029837,981.638222,132,11401.4357344434,68.5724122420475,11268.2625709703,11533.7831006183,11402.1023704537,68.3120655385515,11269.6339322663,11534.4043937016
104,206.355652,642.327522,165,10720.9837710023,186.718254455007,10403.1128267228,11033.288787024,10723.5822491019,185.939646425414,10406.7175110557,11034.7124168575
105,2397.726136,1096.914009,7.2,11514.2659583002,134.845005305000,11274.0853353657,11743.9101603716,11514.5241360617,135.400608053057,11273.9824423449,11745.1839836221
107,2531.073003,1144.776065,9,11516.7582694767,187.60812776235,11196.4328679617,11816.4989727277,11516.7582694767,187.60812776235,11196.4328679617,11816.4989727277
114,972.952508,434.522841,162,11291.1834365856,103.106889760428,11105.9192017007,11467.9208387663,11298.1239842749,103.424049810225,11113.9681225220,11475.0570805773
117,608.335554,104.329646,131.4,11049.5203302011,261.164204740008,10629.3324839331,11475.4042964498,11049.5203302014,261.164204740330,10629.3324839327,11475.4042964506
119,202.579834,374.867293,224.4,10902.1261421413,139.916681244401,10630.0901337838,11164.9564913867,10906.7897620612,139.007044028891,10636.4273314854,11168.4087927833
121,1493.003797,-593.370673,6,11314.1788341764,109.604923892276,11133.4520698197,11498.5754255816,11314.1788341764,109.604923892276,11133.4520698197,11498.5754255816
125,212.538929,241.555237,197.4,11029.3581982308,117.939555449974,10813.9984776426,11253.9761840947,11029.5370888160,118.085321841455,10813.5657084214,11253.7852627527
130,2010.475712,1043.688505,82.2,11544.1677325382,132.525618487530,11310.1075629096,11768.4229316925,11544.2089002031,132.562240166856,11310.3003272305,11768.5292368481
136,1339.349022,611.153306,102,11412.6747270673,112.796631331765,11224.6305215665,11599.8718845208,11414.4019056552,110.987059876190,11227.7533779881,11598.1534967856
140,1215.195939,513.203639,160.8,11568.0909325755,190.123643591211,11253.3245178381,11877.4013515613,11568.7377524632,190.190274609613,11253.7010797112,11877.9943678662
141,1215.052805,512.912589,166.8,11568.3225681255,190.221803936445,11253.3562471633,11877.8133980138,11568.1251831683,189.946901106047,11253.5844147330,11876.9339804578
