"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
11,893.83754,-417.067548,183,12370.5256437860,112.630344666804,12163.7229014915,12593.7499424823,12318.0516232263,107.533392425597,12119.8108076976,12532.3010889933
16,843.373316,239.708818,176.4,11207.828128557,69.13724810859,11078.4053794055,11336.3012557064,11200.1934294531,68.8730306382793,11071.7657054123,11326.3549227772
17,38.344058,-59.458932,168,10948.2757111232,55.0783944672503,10841.5347032395,11055.2956144404,10945.8481167088,54.9607016080396,10839.6667082258,11052.6171250244
20,1651.117188,853.401214,68.4,11449.5235841196,61.300648495822,11331.4721950888,11569.1562308152,11445.5940800410,61.4534497108626,11328.2588282407,11565.0930921421
21,1208.778691,740.998791,193.8,11630.7129628124,59.4616400812401,11520.9813624137,11739.4725887001,11617.2803342599,58.3764964473074,11508.9993046621,11724.0714569359
24,1683.545074,546.776037,45.6,11612.9639522006,78.4812973469263,11467.8320558397,11760.3244557081,11578.869420074,65.5657393130477,11455.3946330661,11710.1765773609
27,1348.41865,636.967747,100.2,11882.5657694891,86.3972252449795,11729.160720369,12022.9288544482,11883.2560196398,86.7912488211784,11728.9161425063,12023.8902116030
28,1151.990583,952.825122,175.2,11415.6274811033,48.8722177037432,11324.2958296680,11511.9211052101,11412.4948281508,48.7356368875702,11321.6854374522,11508.0388413485
31,1230.215535,867.223736,183,11522.9132195567,52.2612559116675,11424.4524726751,11622.0873546323,11517.715820579,51.9994725462709,11420.0366503162,11615.9289657753
33,1153.765293,224.467461,201,11697.0365337077,81.4889126176429,11547.6056894938,11850.1124419708,11685.1590378175,75.559540270613,11545.0346756270,11828.7356503543
35,1126.237601,942.444699,182.4,11402.1486704525,48.5948074169523,11313.2708774545,11497.0719674787,11398.2522899459,48.4523717309599,11309.2661222659,11492.3449092738
40,1394.358163,399.065989,298.2,11935.4809185523,91.960167998118,11771.4787553548,12087.7318854864,11774.1462194477,68.3002424997352,11645.447584606,11905.0937445519
42,1735.958914,503.899135,360,11616.8280957427,93.958182737444,11446.8020688839,11789.08699311,11642.1883372931,88.757526819131,11483.0977770336,11802.6835305759
48,1672.304899,356.801929,153.6,11583.8189636463,118.027276684239,11368.5299725904,11793.8827585224,11537.5337498700,101.174077822125,11348.2233203434,11724.096676734
