"labid","age","error","depth","cc"
"Lead-210_776",-29,2,6,0
"Lead-210_777",-25,2,12,0
"Lead-210_778",-20,2,18,0
"Lead-210_779",-13,3,24,0
"Lead-210_780",-5,4,30,0
"Lead-210_781",4,3,36,0
"Lead-210_782",19,9,42,0
"Lead-210_783",34,14,48,0
"Lead-210_784",55,27,54,0
"Presettlement_paleon",95,50,59.5,0
"Lead-210_785",88,75,60,0
"Lead-210_786",125,243,66,0
"Lead-210_787",158,666,72,0
