"labid","age","error","depth","cc"
"Lead-210_8092",-27,2,0.75,0
"Lead-210_8093",-15,2,1.75,0
"Lead-210_8094",7,3,2.75,0
"Lead-210_8095",36,6,3.75,0
"Lead-210_8096",54,8,4.75,0
"Lead-210_8097",66,9,5.75,0
"Lead-210_8098",76,11,6.75,0
"Lead-210_8099",88,14,7.75,0
"Presettlement_paleon",60,50,8.75,0
