"labid","age","error","depth","cc"
"Core top_37513",-35,5,1,0
"Ambrosia rise_37514",80,20,13,0
"Radiocarbon_37508",3070,200,90,1
"Radiocarbon_37509",4550,140,131.5,1
"Radiocarbon_37510",5440,180,150,1
"Radiocarbon_37511",7190,200,180,1
"Radiocarbon_37512",8670,90,226.5,1
