"labid","age","error","depth","cc"
"Core top_30182",-55,5,0,0
"Presettlement_paleon",43,50,26.5,0
"Radiocarbon_30184",445,35,51,1
"Radiocarbon_30185",950,30,70.5,1
"Radiocarbon_30186",1100,25,95,1
"Radiocarbon_30187",1580,30,125.5,1
"Radiocarbon_30188",1910,35,152,1
"Radiocarbon_30189",2420,35,205.5,1
"Radiocarbon_30190",3075,35,272,1
"Radiocarbon_30191",3410,30,300.5,1
