"labid","age","error","depth","cc"
"Lead-210_940",-33,2,0.25,0
"Lead-210_941",-28,2,1.25,0
"Lead-210_942",-20,2,2.25,0
"Lead-210_943",-12,2,3.25,0
"Lead-210_944",-5,3,4.25,0
"Lead-210_945",2,3,5.25,0
"Lead-210_946",8,3,6.25,0
"Lead-210_947",14,4,7.25,0
"Lead-210_948",20,4,8.25,0
"Lead-210_949",23,4,9.25,0
"Lead-210_950",37,6,11.75,0
"Lead-210_951",43,6,12.75,0
"Lead-210_952",56,8,15.25,0
"Lead-210_953",66,9,17.25,0
"Presettlement_paleon",43,50,17.25,0
