"labid","age","error","depth","cc"
"Core top_31321",-44,1,2,0
"Settlement_31322",90,10,69,0
"Radiocarbon_31323",740,70,106,1
"Radiocarbon_31324",870,120,108,1
"Radiocarbon_31325",1780,130,162,1
