"labid","age","error","depth","cc"
"Core top_2359",10,20,0,0
"Presettlement_paleon",110,50,410,0
"Radiocarbon_2361",1240,90,473,1
"Radiocarbon_2362",1740,140,582,1
"Radiocarbon_2363",4620,190,786,1
"Radiocarbon_2364",8000,300,1001,1
"Radiocarbon_2365",9600,330,1055,1
"Radiocarbon_2366",9960,350,1095,1
"Radiocarbon_2367",12570,190,1195.5,1
