"labid","age","error","depth","cc"
"Core top_37379",-30,5,0,0
"Ambrosia rise_37380",80,10,22,0
"Radiocarbon_rc_37381",110,80,24.5,1
"Radiocarbon_rc_37382",2480,80,144.5,1
"Radiocarbon_37383",4690,97,278,1
"Radiocarbon_rc_37384",5290,130,305,1
