"labid","age","error","depth","cc"
"Core top_33229",-54,5,0,0
"Radiocarbon_33230",1150,40,219.5,1
"Radiocarbon_33231",2830,130,442,1
"Radiocarbon_33232",4410,50,551,1
"Radiocarbon_33233",6600,80,684.9,1
"Radiocarbon_33234",8960,60,772,1
"Radiocarbon_33235",11600,320,879,1
