"labid","age","error","depth","cc"
"Radiocarbon_6218",870,55,7.5,1
"Radiocarbon_6219",2700,60,55,1
"Radiocarbon_6220",4060,70,80,1
"Radiocarbon_6221",6200,80,113,1
"Radiocarbon_6222",8670,185,132.5,1
"Radiocarbon_6223",8960,215,140,1
