id,handle,type,depth_ps,geo_age_ps,x,y,set_year
29,ALLIE,Presettlement_paleon,50,113.356598192158,109713.936799965,977523.885962526,95
223,BADMED,Presettlement_paleon,20,51.1760522435206,83027.2967177605,1242568.51574078,76
241,BBASS,Presettlement_paleon,10,24.4741628447875,195674.921407681,1114636.89343597,80
249,BECKMAN,Presettlement_paleon,83,83.3616170578624,225860.925100248,1031871.05543425,94
3062,BECKMNBG,Presettlement_paleon,35,80.8333757784925,225860.925100248,1031871.05543425,94
272,BIGJOHN,Presettlement_paleon,40,55.6045541607733,122022.866251561,1285729.27075439,60
275,BILLYS,Presettlement_paleon,220,62.8136035329061,133102.2543216,1139174.43738222,80
280,BLANDIN,Presettlement_paleon,41,83.7027074731841,212989.641081798,1225260.94592028,81
287,BLUMOUND,Presettlement_paleon,11,20.9736848964135,462142.995999269,745549.409074632,116
296,BOBLAKE,Presettlement_paleon,20,57.4588423005684,285607.628979334,1160214.97986788,92
298,BOGD,Presettlement_paleon,70,91.5119032854772,101479.189332516,1245816.98709436,71
305,BOSSUOT,Presettlement_paleon,60,112.385806334624,166712.634737809,912781.837383831,95
325,BURNTSDE,Presettlement_paleon,20,45.6862942075281,348306.899741792,1297713.69156685,69
332,CAMP11LK,Presettlement_paleon,10,12.7416946653663,635928.718785106,1133028.27880558,43
334,CAMPBELL,Presettlement_paleon,50,103.281498361465,191338.406333718,955686.364030169,96
352,CEDARBLK,Presettlement_paleon,190,101.106363328725,224593.2761041,1030470.34874412,94
382,CINDY,Presettlement_paleon,20,50.5305438383059,118146.606992935,1242767.28166037,72
515,MNGRCL,Presettlement_paleon,40,91.1893918924249,12403.1964222655,1100005.35355526,82
521,CRAZY,Presettlement_paleon,40,87.4631805577999,58745.1608008107,1252912.7176246,75
532,CUB2,Presettlement_paleon,24,49.4469211719255,864728.728170992,904696.221088265,43
545,DALTON,Presettlement_paleon,40,84.0657870921155,27639.5488726582,1144129.65510178,81
679,DEMONTLK,Presettlement_paleon,60,133.424522393078,858474.955393812,769048.302064685,110
684,DEVILSWI,Presettlement_paleon,22.5,72.9789562903463,476056.304345733,781730.52752116,104
3081,DISTRHFT,Presettlement_paleon,80,107.523687179158,525722.182500445,833581.658372948,99
717,DOGFISH,Presettlement_paleon,25,50.4965431330419,337509.837343369,1327924.4270101,55
781,EASTTWIN,Presettlement_paleon,30,80.1327781886828,199372.362344846,1024929.03742438,95
786,EGGERT,Presettlement_paleon,40,97.8708561233913,178418.072165914,930743.784850951,95
817,FAITH,Presettlement_paleon,30,72.0650009865604,33497.0637751347,1267069.0721991,78
822,FARQUAR,Presettlement_paleon,50,112.136828845481,218186.64208869,958014.902012345,96
824,FAWNLAKE,Presettlement_paleon,30,75.186541659995,116910.403055365,1135672.91149826,87
846,FOXPOND,Presettlement_paleon,50,93.7690154412545,71657.4290798263,1248937.30099233,75
847,FRAINSLK,Presettlement_paleon,410,424.259937084011,968573.108404928,639739.734765968,110
850,FRENCH,Presettlement_paleon,660,85.9350017382736,122633.929290218,991686.939699306,94
860,GASS,Presettlement_paleon,60,113.166241579434,641295.111114483,840927.292239302,116
869,GEORGE,Presettlement_paleon,40,96.4923208017845,155119.584058485,907176.523999103,95
15245,MNBELG,Settlement_32973,37.5,86.505969771782,155119.584058485,907176.523999103,95
967,GOLDSMTH,Presettlement_paleon,20,54.9309466301214,296209.845608153,1153347.8349059,92
990,GRICE,Presettlement_paleon,30,70.1570955130348,57572.0892709998,1255478.37691274,75
1032,HEMOPOND,Presettlement_paleon,60,102.871185311416,77382.6832580704,1244451.96546483,76
1109,HORSE,Presettlement_paleon,40,84.5502162688337,48732.0410140794,1254384.52185562,79
1111,HOSTAGE,Presettlement_paleon,40,67.2657367831082,169178.823979438,1165575.58594639,79
1134,HUGLAKE,Presettlement_paleon,24,50.3391176482812,427498.772250313,1293413.9180913,65
1153,IRVIN,Presettlement_paleon,25,41.0324293570975,214753.548505461,1225280.88533052,81
3138,JACOBSN2,Presettlement_paleon,125,57.5994412175527,275011.286323306,1137169.79112615,81
15274,MNSHBL,Presettlement_paleon,20,57.9555000518508,164069.474393861,1040205.48115173,94
1446,KEGAN,Presettlement_paleon,30,77.8939280428675,221935.359807778,957574.774271244,96
3452,KELLHOL2,Presettlement_paleon,21,15.9791368225497,444723.936510177,994596.812470678,43
1448,KELLNERS,Presettlement_paleon,60,95.8736565605879,633325.771426097,862337.871520861,104
3455,KIRCHNR2,Presettlement_paleon,22,68.3145224581102,221649.926486999,959010.866477861,96
1524,KITCHNER,Presettlement_paleon,60,72.6521629197234,672949.509957926,1019436.6768787,90
1552,KRYZ,Presettlement_paleon,30,74.1527672577114,262480.340950389,1131531.48230106,80
1581,LAKE27,Presettlement_paleon,20,87.9642489112818,879352.164766854,945226.540184882,43
1584,LAKEANN,Presettlement_paleon,60,107.541987106869,186790.609494993,1036849.24633744,95
1588,LAKECARL,Presettlement_paleon,50,108.386068493315,219129.37486314,962575.392478407,97
1629,LEWISLK,Presettlement_paleon,40,88.846344126303,216377.850418702,1069467.537539,93
1633,LILYLAKE,Presettlement_paleon,1345,107.788105947402,248686.155201428,987027.696686918,103
1639,LITTBASS,Presettlement_paleon,1300,58.293147642771,220145.929849084,1241471.17107877,81
