id,handle,geo_age_max,geo_age_min,pol_age_max,pol_age_min
29,ALLIE,112.136657173294,-15.2123757665747,360.078905470557,-12.5959322165708
3473,LAKEMARY,10859.8997669775,232.243946487791,11989.45902396,232.243946487791
223,BADMED,53.2596296092489,-14.7231956881314,124.536297690171,-11.2474155355321
241,BBASS,23.4753343466774,-14.1897025102106,477.175127084532,-10.4231988245218
249,BECKMAN,87.2892940770967,2.51888031764368,1749.7330083682,2.51888031764368
3062,BECKMNBG,80.7638662406337,-29.0074798461695,334.277290513308,-29.0074798461695
272,BIGJOHN,3306.96880810641,-30.6888961355764,5491.72409000028,-30.6888961355764
275,BILLYS,10835.5442447553,-23.5754732046223,11047.9377855643,-23.5754732046223
280,BLANDIN,81.6903835552809,-31.8375038496524,419.129671420273,-28.9402178653088
287,BLUMOUND,12426.6045562585,21.0778224939981,12205.2086233071,21.0778224939981
296,BOBLAKE,55.9912709836248,-14.4425811373541,296.032722682772,-10.7943208396252
298,BOGD,9463.93908461806,-13.2583170017246,10914.4345691283,-11.5424611214576
305,BOSSUOT,113.740004493354,-15.3125151891448,213.942066733827,-12.9861530170945
325,BURNTSDE,46.6001069377722,-19.4898480713083,328.399680570525,-19.4898480713083
332,CAMP11LK,11575.1601817308,12.5975657998448,11737.4644693991,12.5975657998448
334,CAMPBELL,102.964268465381,-14.9623789378476,296.395643351618,-12.4575631140168
352,CEDARBLK,9088.92368243488,-10.207104735089,15703.8349382589,-10.207104735089
369,CHIPPEWA,10908.7623444718,1129.58693233605,11542.795966373,1190.8802529138
382,CINDY,48.9787886547546,-14.6925838991411,254.192968647949,-11.4500455966299
515,MNGRCL,90.1459524628798,-15.2271490127634,144.304977906829,-12.5093569118543
521,CRAZY,90.9018579259175,-15.1434648022304,241.680814764255,-12.5585156844668
532,CUB2,8539.72334226343,18.4121501823763,9834.10515691485,19.9956570357982
545,DALTON,84.3687948393128,-14.9728564335398,218.471724071445,-12.3142895765741
679,DEMONTLK,14143.9562446822,-3.26958853748072,14258.0095632495,20.1829944481462
684,DEVILSWI,14257.3091736201,2.12399081505699,14257.3091736201,4.05921510425152
3081,DISTRHFT,18124.2889710488,105.282032762754,18021.8153929833,334.451382300571
717,DOGFISH,50.1630046103276,-23.7511127545295,148.864545780611,-23.7511127545295
781,EASTTWIN,78.4042742565994,-14.6384045030878,261.537422188509,-11.5375940036105
786,EGGERT,96.4923208017845,-15.173911894973,295.381926019938,-12.2271237609453
817,FAITH,72.144467637776,-14.848354530555,232.073230460836,-11.8889719571494
822,FARQUAR,113.825793427592,-15.3241947830629,397.805746100687,-12.7143851120578
824,FAWNLAKE,76.019367656966,-14.8608019935575,353.70557544241,-11.8691109501429
846,FOXPOND,92.6010577024934,-15.6060914113859,192.060013689784,-13.3605453845235
847,FRAINSLK,14394.6677320828,-6.70266789675119,20339.2410244449,38.3108524425309
850,FRENCH,3956.06898623684,10.0145733348864,3992.3895102926,10.0145733348864
860,GASS,12830.0084145561,4.81293278846719,16409.0893171657,4.81293278846719
869,GEORGE,95.6970908424285,-15.1513557246978,271.809551868616,-12.3653113181608
967,GOLDSMTH,55.4843582372196,-14.4126881381201,360.227319700036,-10.8413527981444
982,GREENLK,15381.5276372071,-21.8150780007029,14077.4358783711,549.204356956247
990,GRICE,71.9208688385173,-14.735860298892,181.955105698459,-11.7587591562651
1032,HEMOPOND,104.207111537247,-15.3905095626342,141.328809997663,-13.2913988808233
1109,HORSE,84.4624401324775,-14.8239663961146,152.515177181623,-12.2868008950198
1110,HORSHOHA,13833.2078055419,9283.80731702058,14500.1503981589,9318.41879898658
1111,HOSTAGE,3806.56444785555,-29.8937723308697,5108.76180457239,-29.8937723308697
1134,HUGLAKE,50.5934320763734,-19.8555279242088,190.459705231826,-13.3943123997097
1153,IRVIN,8325.42078912522,-31.2285575950451,14898.6178980539,-31.2285575950451
3138,JACOBSN2,8077.83837412933,2.94200202952634,9648.90954365401,16.6596575558482
15274,MNSHBL,98.6345371073251,-12.967330393532,249.926810663551,-7.34045160393532
1446,KEGAN,79.1158406035108,-14.8173697826321,151.983585832262,-11.6758037322233
1447,KELLHOL1,8528.38322475333,-28.7714667352993,12044.7338965486,-28.7714667352993
3452,KELLHOL2,7422.04953895577,-28.4232308205869,12575.4030580423,-28.4232308205869
1448,KELLNERS,15470.6564871543,-25.8912233465984,15603.68121732,-24.8294896542996
1520,KIRCHNR1,13583.5532917806,-9.0498281932942,13615.9108106354,179.18905253904
3455,KIRCHNR2,14258.3576741666,4.15929122381964,14618.1805900278,7.51377367458784
1524,KITCHNER,10105.7220415179,-29.5625589740751,11660.7966930239,-19.3386677067513
1548,KOTIRANT,15192.9987542408,149.579258982465,15819.6128234333,149.579258982465
1552,KRYZ,72.0344031712402,-14.7048022289309,261.578267438389,-11.7365313356251
1564,KYLENLK,18816.2315948417,9344.68851432067,18885.6393348661,9431.99503610647
1580,LAKE16,11398.8421883153,10.7832827750252,12955.6389362062,2322.25633394071
1581,LAKE27,3159.19488480559,76.4278943772153,3077.72104477489,82.783545567436
1584,LAKEANN,106.714684260499,-15.2129173006958,181.120890844969,-13.0643809295308
3468,LAKEANNF,8294.53375011182,-30.288104828891,10708.6090718242,904.877121980493
1588,LAKECARL,105.998508519496,7.60342650237002,2181.1521946848,9.75577089357611
1629,LEWISLK,91.425549050946,-14.9437137224872,258.429913782713,-12.1885538719767
1633,LILYLAKE,13430.9323126059,1.62696224678022,16861.0812418033,1.62696224678022
1639,LITTBASS,12314.6271548152,7.76007372556965,12241.1530403824,14.0445541667744
