"handle","name","dataset_id","type","geo_age","cc"
"ALLIE","Lake Allie",29,"Core top_100",-15,0
"ALLIE","Lake Allie",29,"Presettlement_paleon",95,0
"ANDERSLK","Anderson Lake",202,"Radiocarbon, average ",10350,1
"ANDERSLK","Anderson Lake",202,"Radiocarbon_139",10800,1
"BADMED","Bad Medicine Lake",223,"Core top_248",-15,0
"BADMED","Bad Medicine Lake",223,"Presettlement_paleon",76,0
"BBASS","Black Bass Lake",241,"Core top_418",-15,0
"BBASS","Black Bass Lake",241,"Presettlement_paleon",80,0
"BECKMAN","Beckman Lake",249,"Core top_441",0,0
"BECKMAN","Beckman Lake",249,"Presettlement_paleon",94,0
"BECKMNBG","Beckman Lake",3062,"Core top_7701",-29,0
"BECKMNBG","Beckman Lake",3062,"Presettlement_paleon",94,0
"BIGJOHN","Big John Pond",272,"Core top_588",-31,0
"BIGJOHN","Big John Pond",272,"Presettlement_paleon",60,0
"BIGJOHN","Big John Pond",272,"Radiocarbon_rc_590",1320,1
"BIGJOHN","Big John Pond",272,"Radiocarbon_rc_591",3310,1
"BILLYS","Billy's Lake",275,"Core top_603",-24,0
"BILLYS","Billy's Lake",275,"Presettlement_paleon",80,0
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_604",100,1
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_605",1110,1
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_606",2070,1
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_607",3700,1
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_608",5980,1
"BILLYS","Billy's Lake",275,"Radiocarbon_rc_609",9760,1
"BLANDIN","Blandin Pond",280,"Core top_626",-32,0
"BLANDIN","Blandin Pond",280,"Presettlement_paleon",81,0
"BOBLAKE","Bob Lake",296,"Core top_679",-15,0
"BOBLAKE","Bob Lake",296,"Presettlement_paleon",92,0
"BOGD","Bog D Pond",298,"Core top_687",-13,0
"BOGD","Bog D Pond",298,"Presettlement_paleon",71,0
"BOGD","Bog D Pond",298,"Radiocarbon_689",2730,1
"BOGD","Bog D Pond",298,"Radiocarbon_690",3930,1
"BOGD","Bog D Pond",298,"Radiocarbon_691",8560,1
"BOSSUOT","Bossuot Lake",305,"Core top_726",-15,0
"BOSSUOT","Bossuot Lake",305,"Presettlement_paleon",95,0
"BURNTSDE","Burntside Lake",325,"Core top_877",-24,0
"BURNTSDE","Burntside Lake",325,"Presettlement_paleon",69,0
"CAMPBELL","Campbell Lake",334,"Core top_954",-15,0
"CAMPBELL","Campbell Lake",334,"Presettlement_paleon",96,0
"CEDARBLK","Cedar Bog",352,"Core top_1085",-10,0
"CEDARBLK","Cedar Bog",352,"Presettlement_paleon",94,0
"CEDARBLK","Cedar Bog",352,"Radiocarbon_1087",4150,1
"CEDARBLK","Cedar Bog",352,"Radiocarbon_1088",7880,1
"CINDY","Cindy Pond",382,"Core top_1240",-15,0
"CINDY","Cindy Pond",382,"Presettlement_paleon",72,0
"MNGRCL","Cottonwood Lake",515,"Core top_1529",-15,0
"MNGRCL","Cottonwood Lake",515,"Presettlement_paleon",82,0
"CRAZY","Crazy Pond",521,"Core top_1557",-15,0
"CRAZY","Crazy Pond",521,"Presettlement_paleon",75,0
"DALTON","Dalton Lake",545,"Core top_1706",-15,0
"DALTON","Dalton Lake",545,"Presettlement_paleon",81,0
"DOGFISH","Dogfish Lake",717,"Core top_1954",-24,0
"DOGFISH","Dogfish Lake",717,"Presettlement_paleon",55,0
"EASTTWIN","East Twin Lake",781,"Core top_2050",-15,0
"EASTTWIN","East Twin Lake",781,"Presettlement_paleon",95,0
"EGGERT","Eggert Lake",786,"Core top_2075",-15,0
"EGGERT","Eggert Lake",786,"Presettlement_paleon",95,0
"FAITH","Faith Pond",817,"Core top_2271",-15,0
"FAITH","Faith Pond",817,"Presettlement_paleon",78,0
"FARQUAR","Farquar Lake",822,"Core top_2289",-15,0
"FARQUAR","Farquar Lake",822,"Presettlement_paleon",96,0
"FAWNLAKE","Fawn Lake",824,"Core top_2295",-15,0
"FAWNLAKE","Fawn Lake",824,"Presettlement_paleon",87,0
"FOXPOND","Fox Pond",846,"Core top_2356",-15,0
"FOXPOND","Fox Pond",846,"Presettlement_paleon",75,0
"FRENCH","French Lake",850,"Core top_16270",10,0
"FRENCH","French Lake",850,"Presettlement_paleon",94,0
"FRENCH","French Lake",850,"Radiocarbon_rc_16272",520,1
"FRENCH","French Lake",850,"Radiocarbon_rc_16273",2325,1
"FRENCH","French Lake",850,"Radiocarbon_rc_16274",3495,1
"GEORGE","George Lake",869,"Core top_2489",-15,0
"GEORGE","George Lake",869,"Presettlement_paleon",95,0
"MNBELG","George Lake",15245,"Core top_32972",-13,0
"MNBELG","George Lake",15245,"Settlement_32973",90,0
"GOLDSMTH","Goldsmith Lake",967,"Core top_2586",-15,0
"GOLDSMTH","Goldsmith Lake",967,"Presettlement_paleon",92,0
"GRICE","Grice Pond",990,"Core top_2745",-15,0
"GRICE","Grice Pond",990,"Presettlement_paleon",75,0
"HEMOPOND","Hemo Pond",1032,"Core top_2998",-15,0
"HEMOPOND","Hemo Pond",1032,"Presettlement_paleon",76,0
"HORSE","Blocknic Lake [Horse Pond]",1109,"Core top_3098",-15,0
"HORSE","Blocknic Lake [Horse Pond]",1109,"Presettlement_paleon",79,0
"HORSHOHA","Horseshoe Lake",1110,"Radiocarbon_rc_3105",8100,1
"HORSHOHA","Horseshoe Lake",1110,"Radiocarbon_rc_3106",8940,1
"HORSHOHA","Horseshoe Lake",1110,"Radiocarbon_rc_3107",10180,1
"HORSHOHA","Horseshoe Lake",1110,"Radiocarbon_rc_3108",11080,1
"HORSHOHA","Horseshoe Lake",1110,"Radiocarbon_rc_3109",12330,1
"HOSTAGE","Hostage Lake",1111,"Core top_3110",-30,0
"HOSTAGE","Hostage Lake",1111,"Presettlement_paleon",79,0
"HOSTAGE","Hostage Lake",1111,"Radiocarbon_rc_3112",1595,1
"HOSTAGE","Hostage Lake",1111,"Radiocarbon_rc_3113",3485,1
"HUGLAKE","Hug Lake",1134,"Core top_3133",-20,0
"HUGLAKE","Hug Lake",1134,"Presettlement_paleon",65,0
"IRVIN","Irvin Lake",1153,"Core top_3214",-32,0
"IRVIN","Irvin Lake",1153,"Presettlement_paleon",81,0
"IRVIN","Irvin Lake",1153,"Radiocarbon_3215",1540,1
"IRVIN","Irvin Lake",1153,"Radiocarbon_3216",1950,1
"IRVIN","Irvin Lake",1153,"Radiocarbon_3217",3170,1
"IRVIN","Irvin Lake",1153,"Radiocarbon_3218",5890,1
"IRVIN","Irvin Lake",1153,"Radiocarbon_3219",7500,1
"JACOBSN2","Jacobson Lake",3138,"Core top_7897",0,0
"JACOBSN2","Jacobson Lake",3138,"Presettlement_paleon",81,0
"JACOBSN2","Jacobson Lake",3138,"Radiocarbon_7899",3920,1
"JACOBSN2","Jacobson Lake",3138,"Radiocarbon_7900",7210,1
"MNSHBL","Jones Lake",15274,"Core top_33147",-13,0
"MNSHBL","Jones Lake",15274,"Presettlement_paleon",94,0
"KEGAN","Kegan Lake",1446,"Core top_3535",-15,0
"KEGAN","Kegan Lake",1446,"Presettlement_paleon",96,0
"KIRCHNR1","Kirchner Marsh",1520,"Core top_3604",-9,0
"KIRCHNR1","Kirchner Marsh",1520,"Radiocarbon_3605",1660,1
"KIRCHNR1","Kirchner Marsh",1520,"Radiocarbon_rc_3606",4943,1
"KIRCHNR1","Kirchner Marsh",1520,"Radiocarbon_rc_3607",6230,1
"KIRCHNR1","Kirchner Marsh",1520,"Radiocarbon_rc_3608",9039,1
"KIRCHNR1","Kirchner Marsh",1520,"Radiocarbon_3609",11760,1
"KIRCHNR2","Kirchner Marsh",3455,"Core top_7924",0,0
"KIRCHNR2","Kirchner Marsh",3455,"Presettlement_paleon",96,0
"KIRCHNR2","Kirchner Marsh",3455,"Radiocarbon, average ",11942,1
"KOTIRANT","Kotiranta Lake",1548,"Core top_3673",150,0
"KOTIRANT","Kotiranta Lake",1548,"Radiocarbon_3677",13480,1
"KRYZ","Kryzewinski Lake",1552,"Core top_3689",-15,0
"KRYZ","Kryzewinski Lake",1552,"Presettlement_paleon",80,0
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3715",8410,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3716",8575,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3717",9320,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3718",10055,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3719",10430,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3720",10820,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3721",12390,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3722",13450,1
"KYLENLK","Kylen Lake",1564,"Radiocarbon_3723",15850,1
"LAKEANN","Lake Ann",1584,"Core top_3823",-15,0
"LAKEANN","Lake Ann",1584,"Presettlement_paleon",95,0
"LAKEANNF","Lake Ann",3468,"Core top_7930",-30,0
"LAKEANNF","Lake Ann",3468,"Radiocarbon_7931",4390,1
"LAKEANNF","Lake Ann",3468,"Radiocarbon_7932",7420,1
"LAKECARL","Lake Carlson",1588,"Core top_3838",9,0
"LAKECARL","Lake Carlson",1588,"Presettlement_paleon",97,0
"LEWISLK","Lewis Lake",1629,"Core top_4049",-15,0
"LEWISLK","Lewis Lake",1629,"Presettlement_paleon",93,0
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Core top_4114",0,0
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4116",350,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Presettlement_paleon",103,0
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4117",2160,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4118",3570,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4119",4050,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4120",7220,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4121",9680,1
"LILYLAKE","Lily Lake (US:Minnesota)",1633,"Radiocarbon_4122",11770,1
"LITTBASS","Little Bass Lake",1639,"Core top_4137",0,0
"LITTBASS","Little Bass Lake",1639,"Presettlement_paleon",81,0
"LITTBASS","Little Bass Lake",1639,"Radiocarbon_4139",1890,1
"LITTBASS","Little Bass Lake",1639,"Radiocarbon_4140",3960,1
"LITTBASS","Little Bass Lake",1639,"Radiocarbon_4141",5530,1
"LITTBASS","Little Bass Lake",1639,"Radiocarbon_4142",7780,1
"LITTBASS","Little Bass Lake",1639,"Radiocarbon_4143",10660,1
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",9250,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",9500,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",9700,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",9900,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",10100,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",10300,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",10600,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",11100,0
"LKCLDSA","Lake of the Clouds",1649,"Annual laminations (v",11400,0
