"labid","age","error","depth","cc"
"Core top_5481",0,20,0,0
"Presettlement_paleon",77,50,35,0
"Radiocarbon_5482",3685,230,305,1
"Radiocarbon_5483",7320,240,695,1
"Radiocarbon_5484",9780,280,786,1
