"labid","age","error","depth","cc"
"Core top_30175",-61,1,0,0
"Presettlement_paleon",43,50,28.5,0
"Radiocarbon_30177",270,30,42,1
"Radiocarbon_30178",1680,30,84,1
"Radiocarbon_30179",2210,30,122,1
"Radiocarbon_30180",2660,30,146,1
"Radiocarbon_30181",3860,30,176,1
