"labid","age","error","depth","cc"
"Core top_30808",-54,1,0,0
"Presettlement_paleon",43,50,16.5,0
"Radiocarbon_30810",600,40,42.5,1
"Radiocarbon_30811",1084,37,75.5,1
"Radiocarbon_30812",2184,50,135.5,1
"Radiocarbon_30813",2955,43,199.5,1
"Radiocarbon_30814",3779,44,255.5,1
