"labid","age","error","depth","cc"
"Core top_31023",-44,1,2,0
"Settlement_31024",90,10,67,0
"Radiocarbon_31025",750,160,70,1
"Radiocarbon_31026",2020,160,101,1
"Radiocarbon_31027",2580,140,131,1
