"labid","age","error","depth","cc"
"Presettlement_paleon",80,50,165,0
"Radiocarbon_cal_18557",1286,108,254,0
"Radiocarbon_cal_18558",2332,175,453,0
"Radiocarbon_cal_18559",2255,103,612.5,0
"Radiocarbon_cal_18560",3320,243,758,0
"Radiocarbon_cal_18561",3582,108,916,0
"Radiocarbon_cal_18562",4602,178,1106,0
"Radiocarbon_cal_18563",4836,207,1236,0
"Radiocarbon_cal_18564",6698,135,1468,0
"Radiocarbon_cal_18565",7546,86,1553,0
"Radiocarbon_cal_18566",9096,313,1655,0
