"labid","age","error","depth","cc"
"Radiocarbon_rc_3813",155,60,13.5,1
"Presettlement_paleon",43,50,20,0
"Radiocarbon_rc_3814",715,80,51,1
"Radiocarbon_rc_3815",3350,200,173,1
