"labid","age","error","depth","cc"
"Core top_34857",-46,5,0,0
"Radiocarbon_34858",810,35,43,1
"Radiocarbon_34859",1820,50,90,1
"Radiocarbon_34860",4730,45,149,1
"Radiocarbon_34861",6070,50,189,1
"Radiocarbon_34862",8440,50,260,1
"Radiocarbon_34863",8440,60,261,1
"Radiocarbon_34864",9280,60,277,1
