"labid","age","error","depth","cc"
"Core top_4114",0,30,1295,0
"Radiocarbon_4116",350,60,1315,1
"Presettlement_paleon",103,50,1345,0
"Radiocarbon_4117",2160,70,1480,1
"Radiocarbon_4118",3570,70,1630,1
"Radiocarbon_4119",4050,70,1720,1
"Radiocarbon_4120",7220,80,1905,1
"Radiocarbon_4121",9680,100,2085,1
"Radiocarbon_4122",11770,110,2159,1
