"labid","age","error","depth","cc"
"Core top_34011",-33,3,0,0
"Settlement_34012",80,50,80,0
"Radiocarbon_34013",2940,90,180,1
"Radiocarbon_34014",3350,90,390,1
"Radiocarbon_34015",5150,80,630,1
"Radiocarbon_34016",5700,90,730,1
