"handle","dataset.id","acc.mean.mod","acc.mean.old","acc.shape.mod","acc.shape.old","mem.strength","mem.mean","hiatus","thick","age.type","run","suit","ndates","success","dates"
"ADELINE","13060",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"MNFRAL","12016",3.02,15,0.53,0.9,2,0.5,NA,20,"Calendar years BP",FALSE,FALSE,0,NA,"None"
"ALLIE","29",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"AMBER","14631",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"ANDRUSLK","205",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"BADMED","223",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BASSK","14270",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"BBASS","241",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BECKMAN","249",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BECKMNBG","3062",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BIGJOHN","272",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"BILLYS","275",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"BLANDIN","280",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BLOMFORD","10973",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BLUMOUND","287",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"BOBLAKE","296",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BOGD","298",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"BOSSUOT","305",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BROWNLK","313",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"BROWNSBY","314",3.02,15,0.53,0.9,2,0.5,NA,20,"Calendar years BP",FALSE,FALSE,0,NA,"Lead"
"BURNTSDE","325",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CAMP","14633",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"CAMP11LK","332",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,13,1,"RC, CT, or presett"
"CAMP12LK","333",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"CAMPBELL","334",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CAMPLAKE","13057",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CANYON","3055",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,10,1,"RC, CT, or presett"
